Track Number,Popularity,Danceability
10,77,0.319
2,0,0.467
1,50,0.523
13,0,0.648
2,0,0.516
10,3,0.545
2,67,0.376
6,57,0.741
1,65,0.682
2,37,0.477
3,64,0.688
3,32,0.578
7,0,0.448
3,17,0.848
1,49,0.768
2,70,0.828
1,66,0.954
5,61,0.74
9,57,0.77
1,66,0.916
3,55,0.737
40,16,0.478
10,67,0.766
1,0,0.51
2,0,0.607
1,0,0.79
1,23,0.536
1,73,0.705
1,71,0.592
1,83,0.532
1,0,0.377
5,49,0.393
1,0,0.51
4,23,0.406
9,21,0.633
1,65,0.475
13,62,0.689
2,79,0.696
7,51,0.352
6,0,0.628
6,37,0.638
5,85,0.728
3,63,0.795
1,69,0.667
6,82,0.628
4,0,0.725
2,40,0.71
4,51,0.708
1,53,0.723
1,58,0.683
1,34,0.551
2,0,0.674
6,0,0.61
2,5,0.813
5,80,0.564
5,7,0.609
3,6,0.743
1,67,0.506
17,0,0.371
1,44,0.629
1,19,0.467
1,38,0.699
4,0,0.814
10,76,0.628
7,56,0.362
9,51,0.518
1,24,0.61
1,0,0.422
1,1,0.589
3,80,0.756
1,0,0.459
1,16,0.77
1,75,0.589
3,87,0.491
3,0,0.793
5,82,0.638
8,0,0.504
12,69,0.568
2,56,0.728
10,59,0.746
4,37,0.6
15,62,0.599
1,0,0.608
5,0,0.884
1,53,0.739
1,30,0.648
15,0,0.429
6,0,0.59
2,1,0.688
13,17,0.55
2,54,0.594
4,0,0.377
9,0,0.72
1,49,0.644
1,1,0.47
6,30,0.764
17,43,0.595
13,50,0.685
14,0,0.749
8,0,0.472
5,0,0.403
11,0,0.416
13,0,0.657
7,0,0.644
4,84,0.654
10,0,0.558
5,88,0.609
19,0,0.773
13,0,0.481
3,81,0.845
13,77,0.655
3,0,0.845
9,54,0.475
6,37,0.605
19,44,0.728
11,68,0.546
6,0,0.59
5,14,0.609
2,66,0.361
9,36,0.605
9,0,0.525
29,0,0.695
5,48,0.702
2,0,0.361
11,29,0.391
18,0,0.459
4,15,0.654
1,36,0.565
17,39,0.513
3,82,0.647
17,67,0.586
1,34,0.775
2,82,0.73
1,0,0.546
1,0,0.762
7,43,0.628
4,0,0.539
1,0,0.777
14,0,0.569
2,0,0.51
5,68,0.702
1,49,0.613
1,74,0.513
2,0,0.785
10,0,0.506
9,81,0.262
2,46,0.595
9,0,0.392
23,0,0.468
3,58,0.658
5,0,0.697
12,0,0.856
27,0,0.842
15,0,0.871
29,0,0.859
16,0,0.535
23,0,0.778
13,0,0.808
1,0,0.78
32,0,0.817
1,71,0.661
8,38,0.482
17,0,0.79
4,0,0.962
3,59,0.603
9,0,0.874
10,6,0.53
1,18,0.687
1,57,0.6
31,0,0.705
2,68,0.664
5,0,0.51
1,0,0.674
3,51,0.753
8,16,0.731
5,36,0.609
1,0,0.765
1,73,0.681
1,0,0.828
1,1,0.479
5,63,0.673
1,0,0.647
1,82,0.782
1,78,0.756
1,52,0.603
1,6,0.374
4,73,0.672
2,68,0.757
8,22,0.668
1,51,0.695
3,71,0.811
1,69,0.398
6,70,0.607
1,55,0.683
2,82,0.509
1,32,0.85
1,55,0.553
5,51,0.842
5,0,0.631
7,37,0.534
1,5,0.577
1,49,0.442
16,51,0.675
4,46,0.736
3,19,0.615
6,0,0.634
6,35,0.654
13,60,0.669
5,35,0.741
1,68,0.261
1,0,0.783
1,68,0.791
1,38,0.31
18,50,0.508
1,40,0.469
1,0,0.788
6,67,0.704
1,65,0.597
1,77,0.746
2,83,0.636
1,24,0.569
5,73,0.72
1,45,0.669
2,0,0.695
1,44,0.629
19,0,0.371
26,0,0.229
1,35,0.558
6,30,0.672
4,0,0.409
11,35,0.576
6,62,0.405
4,53,0.669
10,0,0.566
1,52,0.497
1,0,0.583
10,0,0.644
1,0,0.58
14,0,0.6
1,0,0.599
1,64,0.68
8,0,0.549
3,0,0.444
1,0,0.841
1,0,0.512
12,0,0.585
7,1,0.702
7,86,0.705
1,0,0.842
5,14,0.356
1,67,0.637
4,45,0.368
11,75,0.322
5,68,0.699
1,0,0.848
1,56,0.665
1,0,0.527
2,51,0.535
15,0,0.447
3,0,0.731
1,0,0.617
1,54,0.739
1,0,0.636
1,72,0.59
1,14,0.688
1,20,0.677
1,0,0.723
1,0,0.689
1,0,0.646
1,43,0.808
1,0,0.631
1,0,0.568
1,58,0.769
7,88,0.64
1,82,0.738
1,61,0.743
18,59,0.706
3,0,0.662
1,0,0.441
8,76,0.56
6,57,0.593
5,0,0.669
4,41,0.492
20,0,0.575
1,67,0.428
1,15,0.519
18,2,0.701
3,9,0.533
4,76,0.389
2,0,0.514
1,66,0.508
7,15,0.766
5,0,0.65
1,0,0.923
1,0,0.48
1,54,0.707
4,21,0.575
1,77,0.713
20,0,0.738
9,0,0.656
2,42,0.681
1,68,0.703
1,41,0.79
1,0,0.694
1,0,0.731
1,8,0.52
8,7,0.46
9,67,0.708
26,1,0.389
24,16,0.328
11,5,0.377
4,79,0.506
4,0,0.723
4,64,0.723
1,42,0.497
5,52,0.598
4,64,0.723
2,53,0.554
1,80,0.775
8,0,0.733
1,7,0.501
3,0,0.5
1,25,0.763
3,27,0.666
1,58,0.589
2,44,0.669
1,61,0.742
5,62,0.748
1,66,0.579
1,0,0.654
1,27,0.645
2,0,0.58
1,55,0.393
10,30,0.566
3,86,0.645
15,36,0.496
2,89,0.734
5,30,0.693
7,0,0.557
1,5,0.877
8,33,0.228
17,0,0.696
2,28,0.598
24,0,0.291
8,53,0.681
6,49,0.832
1,65,0.859
1,0,0.819
1,0,0.713
11,25,0.61
1,3,0.804
11,16,0.528
1,60,0.834
3,48,0.706
4,34,0.572
1,53,0.439
11,4,0.719
1,33,0.565
1,40,0.777
17,66,0.67
15,57,0.589
17,66,0.67
15,57,0.589
41,19,0.448
19,19,0.769
38,30,0.787
2,83,0.746
1,0,0.458
1,75,0.383
1,0,0.667
2,0,0.746
6,0,0.694
8,45,0.504
2,80,0.688
1,44,0.702
3,70,0.854
6,73,0.657
1,59,0.597
1,0,0.38
1,4,0.599
3,75,0.536
2,74,0.715
8,48,0.424
1,58,0.336
1,67,0.575
20,58,0.759
1,48,0.725
1,0,0.868
15,0,0.512
6,0,0.578
6,0,0.71
1,0,0.689
1,51,0.553
11,42,0.482
1,43,0.425
1,0,0.463
1,0,0.469
16,9,0.587
1,54,0.777
2,50,0.563
34,9,0.45
1,54,0.777
3,0,0.601
1,42,0.619
1,0,0.671
1,0,0.855
1,0,0.219
1,70,0.699
10,35,0.852
2,45,0.477
5,58,0.59
1,50,0.482
1,67,0.49
9,77,0.432
1,0,0.45
19,21,0.49
1,0,0.571
2,76,0.612
1,53,0.571
1,50,0.697
1,38,0.685
21,34,0.675
9,40,0.437
7,47,0.611
6,61,0.659
1,44,0.389
11,0,0.464
1,0,0.731
1,62,0.699
16,27,0.558
1,49,0.653
7,2,0.728
14,1,0.528
13,1,0.623
4,77,0.884
3,64,0.671
1,3,0.806
1,48,0.739
1,81,0.582
1,32,0.496
2,2,0.507
20,0,0.675
3,84,0.393
1,49,0.581
4,86,0.856
6,57,0.724
1,0,0.563
11,74,0.775
6,81,0.63
2,77,0.807
6,25,0.56
3,78,0.655
10,32,0.336
1,0,0.718
1,0,0.258
4,33,0.516
1,0,0.672
2,54,0.581
1,0,0.66
12,70,0.964
6,56,0.659
14,41,0.432
2,36,0.87
1,18,0.485
3,41,0.613
3,29,0.404
11,0,0.399
1,38,0.872
20,39,0.696
3,67,0.578
3,87,0.578
1,62,0.827
2,0,0.529
33,43,0.562
1,40,0.73
7,44,0.666
23,47,0.882
1,0,0.343
3,76,0.689
10,65,0.596
10,69,0.47
3,42,0.591
2,0,0.787
11,35,0.706
4,0,0.69
2,65,0.793
15,72,0.614
1,0,0.666
7,35,0.667
4,73,0.645
2,59,0.494
1,1,0.439
3,51,0.682
4,85,0.721
15,31,0.655
3,79,0.761
1,70,0.466
17,64,0.347
14,35,0.804
5,0,0.633
10,77,0.596
1,44,0.696
5,9,0.557
6,39,0.453
7,91,0.672
1,83,0.536
11,75,0.678
11,32,0.643
1,0,0.534
2,0,0.699
1,44,0.513
1,14,0.456
1,37,0.601
11,67,0.606
6,84,0.646
3,81,0.414
8,87,0.596
1,0,0.789
9,77,0.554
9,0,0.553
2,84,0.753
16,0,0.633
2,0,0.752
6,80,0.647
4,72,0.579
8,0,0.646
3,0,0.598
6,0,0.648
1,42,0.662
9,52,0.478
11,53,0.618
1,69,0.838
11,42,0.683
1,24,0.457
14,7,0.294
2,23,0.372
1,40,0.584
1,0,0.407
1,66,0.68
9,0,0.711
3,0,0.649
13,31,0.393
4,0,0.711
1,0,0.56
7,0,0.657
6,0,0.581
12,45,0.615
13,0,0.583
11,0,0.675
1,66,0.575
1,0,0.708
9,0,0.565
10,13,0.705
10,44,0.912
10,5,0.668
6,57,0.96
6,33,0.677
8,0,0.463
10,32,0.583
6,0,0.555
1,71,0.547
1,58,0.421
1,60,0.657
1,0,0.404
43,21,0.618
47,19,0.66
1,0,0.597
14,24,0.594
39,21,0.686
26,8,0.699
17,70,0.736
1,0,0.72
5,0,0.698
1,0,0.337
4,73,0.443
1,36,0.469
1,81,0.566
1,46,0.76
1,20,0.602
3,58,0.548
8,61,0.317
2,77,0.49
1,0,0.516
1,56,0.366
5,0,0.784
4,73,0.502
4,0,0.502
1,33,0.741
18,15,0.532
2,0,0.595
8,0,0.388
8,65,0.388
11,0,0.319
5,85,0.748
1,43,0.31
16,39,0.776
21,0,0.379
5,0,0.744
1,0,0.742
14,0,0.491
1,0,0.489
2,79,0.66
25,31,0.703
5,80,0.687
10,32,0.44
5,0,0.687
13,0,0.703
9,0,0.472
3,1,0.628
14,29,0.545
2,0,0.66
1,51,0.763
3,0,0.638
1,0,0.753
3,67,0.794
1,75,0.883
2,0,0.616
3,0,0.796
1,37,0.536
1,19,0.588
1,0,0.61
1,32,0.763
12,52,0.701
9,35,0.795
4,0,0.564
1,67,0.65
1,47,0.323
12,29,0.578
1,0,0.492
1,3,0.539
1,64,0.705
6,27,0.703
3,45,0.556
1,34,0.582
2,62,0.582
9,33,0.623
3,40,0.719
2,31,0.512
8,79,0.421
1,0,0.286
8,0,0.421
9,3,0.627
1,63,0.811
4,28,0.446
12,55,0.594
5,0,0.599
1,62,0.494
2,2,0.714
1,0,0.544
1,85,0.773
7,45,0.714
5,48,0.573
3,73,0.818
1,64,0.464
11,86,0.781
8,70,0.53
12,60,0.552
4,75,0.806
7,68,0.66
9,59,0.767
6,88,0.614
11,0,0.886
11,38,0.885
10,38,0.499
1,70,0.654
1,0,0.654
8,0,0.638
3,0,0.532
1,54,0.805
1,0,0.616
1,58,0.682
1,15,0.282
9,22,0.367
1,71,0.649
1,0,0.57
14,51,0.63
7,0,0.871
3,0,0.712
1,73,0.431
4,64,0.799
5,87,0.677
83,0,0.694
3,87,0.418
13,2,0.351
1,32,0.708
4,47,0.678
4,60,0.833
13,20,0.516
1,0,0.566
17,28,0.636
8,89,0.545
2,77,0.738
1,68,0.436
1,0,0.581
1,78,0.763
2,39,0.456
5,46,0.543
17,74,0.775
6,0,0.653
7,0,0.7
10,0,0.635
13,23,0.568
4,0,0.682
13,0,0.281
1,49,0.587
6,0,0.497
3,35,0.717
1,0,0.879
16,5,0.568
1,81,0.699
21,27,0.525
20,29,0.435
9,38,0.685
2,64,0.863
1,49,0.758
2,0,0.656
2,58,0.656
1,32,0.644
1,68,0.614
1,0,0.656
1,69,0.753
4,75,0.724
3,25,0.861
4,28,0.354
2,0,0.694
3,61,0.667
10,16,0.671
13,0,0.822
4,15,0.673
1,24,0.507
3,59,0.534
1,17,0.532
1,3,0.554
1,20,0.741
1,45,0.406
1,1,0.452
1,3,0.399
1,11,0.604
1,47,0.844
1,21,0.444
4,85,0.566
1,11,0.656
1,6,0.792
1,0,0.336
1,29,0.478
1,30,0.639
1,12,0.528
1,20,0.864
4,0,0.568
1,0,0.561
1,2,0.476
6,46,0.789
27,25,0.572
1,47,0.645
1,0,0.795
1,36,0.712
10,53,0.704
1,0,0.544
1,54,0.592
1,27,0.532
1,0,0.524
4,45,0.667
13,18,0.804
7,0,0.507
1,3,0.829
3,0,0.384
1,4,0.61
1,28,0.22
3,47,0.601
1,6,0.572
1,6,0.506
1,59,0.347
1,33,0.784
7,0,0.566
19,28,0.388
1,63,0.725
13,76,0.407
1,76,0.799
1,7,0.434
25,72,0.407
8,0,0.544
1,0,0.613
1,0,0.845
11,67,0.596
21,59,0.512
1,0,0.78
3,55,0.536
1,0,0.818
1,78,0.664
1,0,0.545
3,51,0.682
10,39,0.324
9,4,0.461
1,13,0.63
13,0,0.586
3,2,0.479
2,0,0.616
15,70,0.559
1,0,0.533
9,44,0.706
9,0,0.69
1,56,0.617
1,0,0.808
1,0,0.562
1,0,0.387
11,74,0.579
6,45,0.73
3,92,0.588
14,28,0.471
8,41,0.641
20,12,0.689
16,0,0.699
1,0,0.733
3,0,0.5
2,35,0.629
19,73,0.519
4,66,0.64
6,0,0.326
1,65,0.523
1,0,0.594
2,92,0.76
11,50,0.683
8,1,0.457
1,42,0.617
6,88,0.647
2,64,0.677
3,83,0.673
1,62,0.754
16,38,0.568
1,55,0.686
14,27,0.795
5,0,0.453
6,53,0.71
13,49,0.56
5,71,0.912
3,14,0.414
2,68,0.715
2,23,0.459
5,48,0.913
10,35,0.511
1,0,0.486
3,2,0.479
5,0,0.679
2,89,0.527
1,49,0.441
1,2,0.886
4,32,0.823
1,0,0.76
4,46,0.389
1,0,0.752
1,0,0.699
6,0,0.448
4,77,0.553
1,0,0.716
3,63,0.673
3,26,0.501
5,0,0.914
1,0,0.626
10,0,0.744
1,7,0.636
1,74,0.818
1,0,0.425
2,37,0.565
8,25,0.51
1,43,0.571
3,0,0.535
13,0,0.592
2,75,0.479
4,71,0.432
1,80,0.652
2,86,0.6
20,0,0.438
11,0,0.657
1,0,0.559
28,0,0.567
4,0,0.735
19,17,0.557
1,64,0.439
11,36,0.334
2,62,0.555
9,15,0.364
1,38,0.642
1,51,0.541
1,32,0.495
2,0,0.85
3,0,0.371
23,16,0.376
29,0,0.52
2,30,0.553
3,42,0.53
2,43,0.458
7,54,0.821
1,44,0.504
4,27,0.636
4,29,0.58
14,47,0.645
6,44,0.675
2,36,0.672
2,52,0.541
8,0,0.715
12,0,0.784
4,81,0.376
1,45,0.418
5,18,0.726
6,0,0.445
1,28,0.692
1,76,0.554
6,80,0.645
5,0,0.5
5,63,0.397
16,0,0.528
3,69,0.575
2,39,0.395
4,57,0.717
1,48,0.701
11,0,0.613
1,69,0.743
1,69,0.743
12,11,0.536
9,0,0.539
1,59,0.587
2,82,0.613
6,83,0.53
3,76,0.719
1,72,0.583
5,52,0.456
1,48,0.546
3,46,0.722
1,18,0.849
1,55,0.795
12,59,0.726
4,0,0.436
2,29,0.452
1,65,0.436
14,41,0.343
3,12,0.512
4,3,0.569
3,8,0.545
1,27,0.767
1,18,0.532
3,66,0.635
2,75,0.76
1,64,0.561
8,63,0.561
1,69,0.76
3,63,0.568
14,37,0.856
12,53,0.697
9,48,0.627
5,70,0.627
1,0,0.586
8,2,0.656
1,67,0.703
6,88,0.422
1,74,0.711
23,66,0.742
1,0,0.466
7,32,0.656
1,1,0.369
1,41,0.493
8,52,0.692
6,67,0.694
10,46,0.767
1,34,0.5
2,26,0.719
1,21,0.658
11,40,0.604
7,0,0.465
1,60,0.747
3,29,0.862
14,0,0.817
1,47,0.654
16,9,0.4
1,0,0.67
6,31,0.745
1,72,0.551
1,16,0.698
1,0,0.814
1,40,0.713
10,17,0.614
7,55,0.719
1,22,0.582
50,39,0.831
84,28,0.69
4,0,0.72
2,10,0.593
4,3,0.652
1,69,0.675
4,0,0.488
6,16,0.289
3,31,0.664
1,43,0.759
1,0,0.713
1,19,0.712
5,79,0.775
8,78,0.81
2,60,0.603
1,0,0.595
1,0,0.505
1,0,0.613
2,0,0.488
1,0,0.394
8,50,0.277
3,58,0.479
1,2,0.858
4,58,0.545
6,34,0.435
1,2,0.605
10,27,0.266
5,70,0.762
2,74,0.551
1,1,0.458
1,7,0.571
2,69,0.389
11,69,0.544
9,56,0.465
8,0,0.788
1,85,0.794
11,55,0.557
11,28,0.561
7,58,0.309
1,51,0.551
6,77,0.61
9,84,0.602
2,56,0.676
4,0,0.708
14,0,0.602
2,0,0.489
9,0,0.574
1,67,0.723
15,0,0.742
1,22,0.594
4,62,0.721
1,69,0.489
1,60,0.452
1,65,0.578
1,66,0.525
5,0,0.181
1,0,0.412
1,58,0.572
2,4,0.671
1,42,0.709
1,0,0.801
1,0,0.801
5,40,0.609
15,2,0.604
1,47,0.576
5,0,0.349
1,15,0.662
6,12,0.706
9,69,0.797
2,5,0.606
9,0,0.555
5,79,0.543
28,74,0.581
7,0,0.686
3,6,0.727
1,87,0.324
1,0,0.682
18,0,0.548
10,15,0.798
1,0,0.651
1,0,0.485
1,0,0.665
2,0,0.531
1,0,0.56
6,55,0.486
5,0,0.539
4,0,0.525
16,35,0.618
5,0,0.596
1,42,0.758
1,0,0.762
3,1,0.674
4,29,0.568
1,58,0.516
6,8,0.781
3,63,0.548
1,0,0.757
1,0,0.593
2,0,0.673
4,52,0.785
1,57,0.681
2,35,0.53
6,0,0.642
1,14,0.532
7,0,0.276
4,45,0.562
4,0,0.634
11,49,0.656
3,44,0.663
4,0,0.77
2,0,0.678
1,0,0.567
8,51,0.623
4,50,0.549
1,0,0.68
5,57,0.404
3,5,0.664
10,71,0.324
1,14,0.54
2,0,0.586
1,0,0.403
4,0,0.569
3,12,0.243
2,62,0.587
4,53,0.671
13,0,0.793
15,38,0.682
3,28,0.54
12,32,0.723
3,13,0.545
9,65,0.67
9,16,0.423
8,77,0.773
8,77,0.639
3,0,0.76
1,1,0.548
3,0,0.54
1,0,0.555
8,0,0.59
2,12,0.661
3,0,0.715
1,60,0.861
1,0,0.689
7,0,0.772
11,62,0.546
2,45,0.709
1,19,0.512
13,28,0.58
9,0,0.794
1,76,0.679
1,80,0.679
2,40,0.405
3,0,0.652
11,12,0.478
8,0,0.516
9,1,0.691
1,0,0.539
1,67,0.887
14,64,0.559
8,0,0.703
16,44,0.738
11,8,0.437
10,0,0.681
1,89,0.664
4,0,0.579
12,0,0.612
1,51,0.922
9,50,0.501
2,0,0.62
15,0,0.67
2,0,0.5
1,49,0.67
1,73,0.509
2,0,0.43
5,0,0.528
1,34,0.665
9,79,0.621
6,51,0.629
2,81,0.564
6,26,0.656
2,48,0.726
8,22,0.402
1,1,0.77
2,69,0.704
1,46,0.646
3,71,0.492
11,62,0.668
2,91,0.726
10,77,0.666
10,69,0.522
4,75,0.608
4,84,0.874
1,84,0.604
6,90,0.612
1,31,0.713
1,0,0.733
1,0,0.626
2,0,0.711
6,58,0.591
2,54,0.383
8,50,0.706
7,57,0.434
12,32,0.614
2,46,0.408
4,0,0.514
1,0,0.46
6,0,0.616
2,0,0.762
5,0,0.489
4,25,0.69
1,0,0.647
3,39,0.668
4,28,0.727
9,0,0.523
30,0,0.604
6,0,0.523
20,0,0.266
8,0,0.557
11,5,0.311
2,77,0.637
2,0,0.401
2,0,0.63
1,0,0.658
1,57,0.61
10,0,0.661
12,32,0.608
2,0,0.593
16,25,0.573
10,35,0.749
8,38,0.455
1,5,0.446
1,24,0.46
9,8,0.49
2,25,0.515
3,85,0.707
4,0,0.738
5,67,0.596
8,76,0.695
3,54,0.524
2,66,0.779
15,71,0.725
10,77,0.573
9,64,0.665
3,36,0.489
5,50,0.558
10,0,0.626
5,35,0.832
14,0,0.631
4,0,0.499
16,61,0.53
8,65,0.628
6,0,0.662
4,66,0.622
13,48,0.547
2,41,0.547
8,0,0.624
6,40,0.407
1,42,0.683
4,74,0.518
7,60,0.689
8,17,0.564
5,0,0.448
3,0,0.61
7,0,0.695
3,0,0.781
5,0,0.56
2,85,0.641
5,66,0.688
3,57,0.747
3,0,0.781
1,31,0.59
5,20,0.719
1,82,0.346
7,0,0.576
1,66,0.694
5,54,0.412
1,17,0.781
1,57,0.625
1,56,0.31
1,0,0.597
2,60,0.524
2,72,0.502
2,0,0.411
1,43,0.698
3,74,0.486
1,37,0.567
2,70,0.597
10,78,0.853
3,82,0.674
4,85,0.778
5,72,0.457
8,66,0.657
2,63,0.409
1,85,0.612
1,0,0.384
2,0,0.511
3,84,0.421
2,47,0.607
5,20,0.647
6,12,0.48
3,32,0.624
3,30,0.738
4,26,0.603
4,88,0.505
5,0,0.519
1,0,0.473
4,78,0.505
1,83,0.448
5,73,0.635
1,1,0.482
3,0,0.657
5,0,0.507
3,0,0.629
4,0,0.357
5,81,0.631
4,78,0.505
4,14,0.327
1,76,0.448
1,0,0.469
5,52,0.744
5,30,0.666
2,36,0.672
4,22,0.765
6,46,0.691
1,30,0.651
3,24,0.773
24,0,0.66
1,56,0.755
1,0,0.585
2,0,0.367
1,72,0.826
1,70,0.781
1,35,0.569
16,0,0.851
9,32,0.433
1,70,0.566
1,25,0.567
10,0,0.473
3,0,0.734
2,0,0.719
1,19,0.69
1,38,0.593
4,42,0.817
1,37,0.682
2,52,0.59
1,2,0.402
10,0,0.767
1,0,0.594
13,0,0.602
3,0,0.655
2,0,0.738
8,69,0.693
1,82,0.747
4,81,0.706
5,0,0.684
2,82,0.608
8,66,0.693
3,78,0.585
5,31,0.471
4,45,0.473
1,32,0.664
1,12,0.564
10,80,0.602
1,38,0.264
2,40,0.463
5,16,0.46
6,37,0.502
4,0,0.609
2,0,0.616
8,0,0.609
1,54,0.402
15,23,0.571
7,30,0.579
4,35,0.603
2,39,0.757
14,32,0.597
3,76,0.713
1,88,0.726
1,34,0.711
1,0,0.729
1,41,0.612
3,0,0.262
1,0,0.466
1,54,0.389
2,65,0.765
7,47,0.658
28,8,0.692
2,76,0.66
4,60,0.677
1,39,0.539
6,67,0.66
1,0,0.57
1,60,0.754
8,56,0.586
5,0,0.745
5,71,0.591
1,0,0.528
2,82,0.765
1,0,0.598
4,73,0.483
1,0,0.843
9,23,0.576
5,80,0.685
10,58,0.673
7,72,0.561
4,35,0.586
3,41,0.597
1,0,0.51
15,9,0.491
2,15,0.736
3,27,0.671
1,27,0.751
1,0,0.447
17,71,0.62
11,48,0.596
2,78,0.649
3,79,0.791
14,78,0.678
15,72,0.514
4,75,0.638
1,69,0.719
1,0,0.698
1,0,0.798
5,48,0.284
25,0,0.453
2,0,0.497
2,59,0.613
1,45,0.282
2,73,0.672
3,77,0.378
6,23,0.638
4,59,0.388
2,75,0.672
3,82,0.378
14,5,0.411
1,12,0.643
6,27,0.708
1,0,0.349
1,70,0.605
1,0,0.467
1,0,0.759
1,65,0.585
7,65,0.632
1,20,0.653
2,0,0.507
1,77,0.727
4,10,0.401
6,83,0.457
3,2,0.56
18,0,0.402
14,38,0.598
9,21,0.536
1,53,0.68
12,39,0.662
3,66,0.379
1,18,0.638
2,80,0.716
9,26,0.44
1,43,0.432
3,56,0.469
3,0,0.683
10,82,0.747
20,0,0.684
1,0,0.727
1,23,0.447
5,78,0.509
1,0,0.662
1,0,0.745
4,48,0.624
1,54,0.708
1,0,0.582
2,28,0.513
7,0,0.554
1,0,0.664
4,56,0.752
3,77,0.783
5,0,0.523
3,40,0.689
2,0,0.719
1,0,0.665
1,0,0.553
1,0,0.751
1,13,0.509
3,0,0.589
1,35,0.409
1,0,0.413
6,45,0.474
2,56,0.71
10,0,0.511
10,64,0.747
20,0,0.494
1,19,0.556
1,0,0.652
3,52,0.702
1,0,0.592
6,62,0.675
1,49,0.46
10,63,0.664
10,35,0.496
1,0,0.745
1,0,0.697
1,49,0.633
1,49,0.662
1,0,0.442
2,58,0.696
10,0,0.601
11,0,0.736
1,4,0.605
3,82,0.471
2,71,0.637
4,27,0.58
3,85,0.783
3,71,0.658
10,48,0.743
11,35,0.605
2,0,0.682
18,53,0.781
4,87,0.743
8,0,0.661
3,0,0.579
5,53,0.68
3,50,0.647
8,0,0.568
2,74,0.716
1,45,0.858
1,46,0.637
6,48,0.602
2,27,0.713
4,41,0.61
3,74,0.505
1,78,0.356
1,40,0.661
1,43,0.728
8,18,0.637
14,0,0.697
1,11,0.551
2,43,0.638
3,73,0.672
1,64,0.843
1,62,0.678
3,0,0.48
2,74,0.686
1,64,0.742
6,13,0.626
3,49,0.641
2,36,0.524
3,28,0.746
11,26,0.678
1,0,0.57
1,20,0.687
2,0,0.715
2,78,0.719
1,40,0.706
4,39,0.641
26,31,0.549
19,12,0.582
9,24,0.83
5,79,0.629
7,26,0.466
5,30,0.453
1,40,0.694
7,66,0.716
10,61,0.592
4,85,0.646
8,20,0.653
2,60,0.379
6,76,0.421
11,46,0.46
6,59,0.421
1,48,0.716
1,35,0.859
1,3,0.858
1,0,0.42
4,0,0.562
5,0,0.679
3,0,0.464
1,0,0.389
15,0,0.508
2,0,0.675
6,0,0.272
11,0,0.618
1,25,0.553
1,23,0.595
1,0,0.62
1,0,0.203
2,58,0.696
10,0,0.445
1,84,0.584
8,43,0.47
7,0,0.463
2,79,0.562
2,70,0.562
1,52,0.676
3,88,0.449
7,76,0.425
4,75,0.43
3,47,0.52
1,75,0.553
2,0,0.506
1,39,0.523
1,0,0.785
2,0,0.797
1,80,0.715
2,43,0.682
1,19,0.63
5,0,0.55
6,55,0.712
9,44,0.663
1,51,0.573
5,50,0.699
1,80,0.576
24,0,0.452
2,21,0.668
10,0,0.704
4,7,0.6
12,34,0.559
2,69,0.63
1,0,0.428
1,45,0.433
1,0,0.639
6,55,0.416
3,59,0.557
1,66,0.671
2,74,0.668
2,0,0.412
2,29,0.697
1,77,0.642
9,76,0.592
11,71,0.589
2,67,0.733
2,0,0.642
1,71,0.642
6,39,0.81
6,64,0.81
9,58,0.592
14,29,0.513
14,44,0.479
2,82,0.56
13,63,0.604
5,52,0.608
2,73,0.668
5,27,0.782
19,0,0.636
3,0,0.632
6,0,0.717
1,31,0.532
2,0,0.677
15,0,0.476
1,0,0.735
1,50,0.595
4,35,0.594
8,41,0.742
14,39,0.483
10,33,0.671
3,35,0.574
13,0,0.469
1,0,0.787
1,0,0.482
8,0,0.311
6,51,0.591
1,63,0.556
10,0,0.795
1,65,0.719
2,51,0.708
1,37,0.515
3,0,0.666
3,0,0.552
2,52,0.732
3,10,0.577
1,21,0.342
1,79,0.652
2,0,0.703
12,72,0.546
11,76,0.732
12,65,0.421
1,30,0.696
2,26,0.679
3,66,0.535
2,86,0.671
8,80,0.67
3,74,0.61
4,80,0.595
9,0,0.75
1,59,0.646
1,34,0.694
5,0,0.66
1,0,0.528
2,22,0.534
7,0,0.492
5,7,0.542
1,63,0.413
2,0,0.582
3,55,0.758
2,55,0.493
8,49,0.652
3,65,0.641
4,78,0.664
1,63,0.612
7,72,0.632
2,78,0.587
14,40,0.581
2,87,0.733
2,46,0.587
4,66,0.611
16,64,0.521
1,67,0.67
17,72,0.583
5,75,0.349
2,62,0.463
17,14,0.628
10,36,0.456
19,11,0.424
8,39,0.325
1,41,0.565
6,49,0.511
2,56,0.457
7,46,0.493
4,0,0.794
1,48,0.457
1,10,0.699
11,73,0.234
6,67,0.531
2,63,0.507
9,55,0.852
13,0,0.417
8,0,0.67
4,3,0.737
13,0,0.186
9,68,0.653
1,7,0.62
1,69,0.693
2,60,0.648
14,45,0.733
1,30,0.832
2,71,0.35
3,0,0.619
6,55,0.57
1,71,0.436
1,1,0.842
12,27,0.669
10,78,0.826
1,0,0.697
1,0,0.637
2,0,0.501
2,77,0.578
6,74,0.591
2,0,0.571
16,13,0.612
1,14,0.533
1,1,0.598
1,8,0.627
1,10,0.712
5,0,0.392
3,0,0.602
14,61,0.431
12,61,0.535
3,23,0.665
2,72,0.511
1,4,0.57
3,0,0.643
1,61,0.551
1,0,0.587
2,19,0.475
1,29,0.82
7,0,0.411
4,0,0.643
