Track Number,Popularity,Danceability
1,21,0.717
2,0,0.637
1,68,0.681
1,79,0.614
3,84,0.637
28,32,0.362
1,74,0.673
1,67,0.653
1,70,0.697
1,82,0.798
1,69,0.662
1,57,0.55
1,70,0.743
1,72,0.676
1,41,0.6
17,78,0.8
1,68,0.79
1,0,0.664
1,4,0.746
1,3,0.782
1,72,0.779
1,59,0.705
11,16,0.714
1,0,0.746
1,82,0.761
1,76,0.799
1,5,0.705
1,51,0.803
1,63,0.808
1,0,0.835
14,0,0.197
1,82,0.935
1,1,0.728
1,49,0.934
14,53,0.761
1,58,0.598
1,47,0.663
1,26,0.495
1,0,0.648
1,14,0.486
1,69,0.729
1,7,0.7
1,27,0.635
1,73,0.738
1,0,0.712
1,79,0.789
1,38,0.704
1,0,0.639
1,57,0.783
12,81,0.625
1,74,0.727
1,53,0.807
1,52,0.837
1,54,0.545
3,82,0.823
1,82,0.734
1,63,0.732
1,44,0.547
1,59,0.758
1,48,0.761
2,20,0.656
1,0,0.612
1,53,0.856
1,50,0.476
1,65,0.641
13,65,0.563
1,51,0.702
2,0,0.68
1,78,0.767
1,39,0.785
1,64,0.795
1,45,0.524
1,54,0.618
5,0,0.759
8,68,0.789
1,40,0.814
4,77,0.672
13,0,0.678
1,63,0.744
1,64,0.693
1,75,0.672
1,47,0.535
1,67,0.679
1,64,0.521
1,68,0.58
6,82,0.708
1,62,0.639
25,10,0.247
2,56,0.836
1,30,0.471
1,73,0.677
1,83,0.597
2,79,0.755
2,53,0.766
1,76,0.712
1,77,0.63
1,59,0.901
1,40,0.684
3,33,0.754
1,77,0.399
1,32,0.791
1,73,0.848
1,33,0.843
1,0,0.653
1,75,0.728
1,85,0.667
7,81,0.746
9,27,0.78
2,37,0.715
1,61,0.501
9,13,0.604
1,69,0.754
1,57,0.811
1,69,0.69
1,0,0.799
1,45,0.502
2,7,0.655
1,76,0.834
1,0,0.364
1,0,0.504
8,65,0.659
2,85,0.793
9,80,0.73
1,0,0.718
6,83,0.449
4,79,0.647
5,85,0.695
7,71,0.627
6,0,0.643
1,3,0.626
12,87,0.702
1,0,0.482
1,68,0.73
1,21,0.638
3,82,0.628
10,81,0.667
10,89,0.357
10,48,0.667
11,58,0.68
11,90,0.68
7,52,0.614
9,93,0.514
1,45,0.596
2,70,0.443
1,79,0.923
1,19,0.663
1,33,0.551
1,48,0.702
1,59,0.606
1,49,0.758
1,1,0.638
2,71,0.843
1,42,0.661
1,51,0.544
